"Номер по каталогу","Наименование","Ед. изм.","Цена руб","Количество","Сумма, руб"
"25-3761-01","Блок ЭПХХ 402 дв. (Калуга)","шт","155.00","","0.00"
"3302-2815013","Боковина бруса 3302 (Autocomponent)","шт","84.00","","0.00"
"3310-2809013","Боковина бруса 3310 Валдай","шт","83.00","","0.00"
"AT-DCP-6","Бокорезы 6"" (160мм) (AT-DCP-6) (AIRLINE)","шт","292.00","","0.00"
"AT-DCP-8","Бокорезы 8"" (200мм) (AT-DCP-8) (AIRLINE)","шт","290.00","","0.00"
"3900625","Болт   М5х 10х 1,0 (крепления масляной форсунки) ISF2.8, ISLe, QSL","шт","5.00","","0.00"
"3679118","Болт   М5х 16х 0,8 (крепления трубки уровня масла) ISF2.8, ISF3.8 (О+)","шт","24.00","","0.00"
"4903110","Болт   М8х 35х 1,25 (держателя крепления форсунки) ISF3.8 (О+)","шт","40.00","","0.00"
"3900632","Болт   М8х 35х 1,25 (ТНВД, картера маховика) 4ISBе,6ISBe,ISF2.8,ISF3.8,6BT,EQB,QSB,ISLe,QSL (О+)","шт","38.00","","0.00"
"3900678","Болт   М8х 40х 1,25 (крепления ТНВД) ISF2.8, ISF3.8, QSL, QSC","шт","23.00","","0.00"
"3966976","Болт   М8х 65х 1,25 (крепления коллектора впускного воздушного) ISF3.8","шт","33.00","","0.00"
"4992390","Болт   М8х 65х 1,25 (крепления охладителя ЕГР) ISF2.8","шт","56.00","","0.00"
"3913366","Болт   М8х 90х 1,25 (крепления впускного коллектора) ISF3.8 (О+)","шт","46.00","","0.00"
"3913034","Болт   М8х100х 1,25  (крепления основания фильтра масляного) ISF3.8","шт","56.00","","0.00"
"3903990","Болт  М10 x 20 х 1,5 (крепления генератора) 4ISBе, 6ISBe, ISF2.8, ISF3.8, QSC, QSL, ISLe, QSB (О+)","шт","28.00","","0.00"
"3910495","Болт  М12 x 30 х 1,75 (на заднюю крышку блока цилиндров) 4ISBе,6ISBe,ISF3.8,QSB,6BT,EQB,ISLe (О+)","шт","60.00","","0.00"
"4942710 / 5297582","Болт  М12 x 32 х 1,25 (крепления маховика) ISF2.8 (О+)","шт","76.00","","0.00"
"3902116 / 3907610","Болт  М12 x 50 х 1,75 (крепления картера маховика) ISF2.8, ISLe, QSL","шт","52.00","","0.00"
"3927948 / 4891353","Болт  М12 x120 х 1,5 (крышки коренного подшипника) 4ISBе, 6ISBe, ISF2.8, ISF3.8,  QSB, 6BT, EQB","шт","79.00","","0.00"
"","Болт бесшумный открывания дверей Газель (кт 3шт)","шт","144.00","","0.00"
"240-1002047-01","Болт головки блока цилиндров ЗИЛ-5301, 3309, МТЗ короткий","шт","169.00","","0.00"
"406-24-1003050-09","Болт головки цилиндров 40524,40525,40904 ЕВРО-3 (ан.40624.1003050-01)","шт","100.00","","0.00"
"406-1003050","Болт головки цилиндров 406,409 дв (М14х1,5х103) (ЗМЗ) н/обр","шт","123.00","","0.00"
"24-2403034","Болт диффер (креплен ведом шест глав пары) Волга","шт","10.00","","0.00"
"53-2403034-12","Болт диффер (соед коробок сателитов) 3309","шт","56.00","","0.00"
"5016291","Болт кардана 3302 дв.Камминз шрус М6х0,75х45 (Spicer Ayra Cardan SA Испания/ГАЗ)","шт","98.00","","0.00"
"2217-2200800","Болт кардана 3302,2217,Волга в сб класс ОРИГИНАЛ (к-т 4шт) (ГАЗ)","шт","65.00","","0.00"
"АМ1202","Болт кардана 3302,2217,Волга высокопрочный (к-т 4шт) (АМЗ/ГАЗ)","шт","83.00","","0.00"
"3310-40-2200800","Болт кардана 3310 в сб класс ОРИГИНАЛ (к-т 4шт) (ГАЗ)","шт","176.00","","0.00"
"3308-2200800","Болт кардана 53,3307 в сб класс ОРИГИНАЛ (к-т 8шт) (ГАЗ)","шт","179.00","","0.00"
"5257728","Болт крепления ГБЦ ISF2.8","шт","184.00","","0.00"
"4940194","Болт крепления ГБЦ М12х1,75х150 ISF3.8 (О+)","шт","165.00","","0.00"
"4980332","Болт крепления коленвала, демпфера ISF3.8","шт","87.00","","0.00"
"3286392","Болт крепления кронштейна опоры вентилятра ISF2.8","шт","32.00","","0.00"
"5255748","Болт крепления крышки масляного насоса (винт) ISF2.8 (О+)","шт","48.00","","0.00"
"4940675","Болт крепления маховика (с невыпадающей шайбой) ISF3.8 (О+)","шт","80.00","","0.00"
"245-1008024","Болт крепления переходника ТКР 6.1 кор","шт","140.00","","0.00"
"3285067","Болт крепления ТНВД с фланцем и шестигранной головкой ISF2.8","шт","30.00","","0.00"
"265-1205028","Болт крепления трубы впуск к ТКР 6","шт","90.00","","0.00"
"3914407 / 3818121 …","Болт крепления форсунок 3302 Бизнес дв.2,8 Cummins FOTON","шт","159.00","","0.00"
"2217-2902739","Болт крепления чашки пружины 2217","шт","250.00","","0.00"
"3864113","Болт крепления шестерни звездочки ГРМ ISF2.8 (О+)","шт","122.00","","0.00"
"245-1005054-В","Болт крепления шкива к/вала ГАЗ дв. 245","шт","463.00","","0.00"
"5263944","Болт крышки шатунов двигателя ISF2.8","шт","157.00","","0.00"
"4444-3907769","Болт М10x1,75х70 с шестигранной головкой Cummins ISF 3.8 FOTON","шт","162.00","","0.00"
"290775-П29","Болт М10х1,5х40 8.8 ступ перед.колодок 3302,кроншт.генерат дв. 402 (Метизные изделия/ГАЗ)","шт","13.00","","0.00"
"200320-П29","Болт М10х1,5х55 6.8 усилителя картера сцепления 402","шт","20.00","","0.00"
"4444-3900679","Болт М10х1,5х80 с фланцем и шестигр.голов.дв.Камминз","шт","93.00","","0.00"
"200326-П28","Болт М10х1,5х85 картера сцепления 406 дв","шт","23.00","","0.00"
"3302-2403232","Болт М10х1х22 главной пары 3302,31105","шт","11.00","","0.00"
"2905250-81","Болт М10х1х35 карданный ГАЗон Next (Нижегородский центр крепежа/ГАЗ)","шт","35.00","","0.00"
"291501-П29","Болт М10х1х55 8.8 крепления балки Волга, приемн.трубы 3309,ГАЗ-66","шт","22.00","","0.00"
"201497-629","Болт М10х25 кронштейна перед опоры 40524,40525,40904 Евро 3","шт","8.00","","0.00"
"201521-629","Болт М10х32х1 универсал картера сцепл","шт","12.00","","0.00"
"406-20-1005127","Болт М10х41 крепления маховика","шт","40.00","","0.00"
"290968-71","Болт М10х50","шт","25.00","","0.00"
"406-00-1004060-000","Болт М10х63 шатуна с гайкой 406","шт","226.00","","0.00"
"290977-П29","Болт М12х1,25х165 8.8 стяжной рессоры зад 3307","шт","51.00","","0.00"
"350004-П29","Болт М12х1,25х22 8.8 суппорта 3302","шт","20.00","","0.00"
"53-01-2403232","Болт М12х1,25х38 главной пары 3307,3309,3310","шт","28.00","","0.00"
"290862-П29","Болт М12х1,25х45 6.8 полуоси Волга","шт","33.00","","0.00"
"201577-629","Болт М12х1,25х80 стяжной рессоры 3302 (Завод Красная Этна/ГАЗ)","шт","33.00","","0.00"
"4531149-86     ","Болт М12х1,5х28 ступицы 33104 ""Валдай""","шт","100.00","","0.00"
"201542-П29","Болт М12х1,75х35 6.8 рул редуктора 3302","шт","14.00","","0.00"
"201563-629","Болт М12х30х1,25 крепления звездочки р/вала 406 (Завод Красная Этна/ГАЗ)","шт","15.00","","0.00"
"4593461-625","Болт М12х50х1,25 рессоры передней 3302","шт","19.00","","0.00"
"290927-629","Болт М12х62х1,25 рессоры 3302,поворотный рычаг 31105 (Завод Красная Этна/ГАЗ)","шт","31.00","","0.00"
"201618-629","Болт М14х1,5х50 крепления крюка буксирного 3310 Валдай (рессоры Газель Бизнес)","шт","30.00","","0.00"
"5340-1005127","Болт М14х1.5-6gx60-10.9 маховика дв.ЯМЗ-5344","шт","101.00","","0.00"
"00000-00-4599511-447     ","Болт М14х135х1,5 крепления подвески Волга","шт","69.00","","0.00"
"290885-81     ","Болт М16х1,5х40 крепл.тормозного диска прав., лев., передн., заднего 33104 ГАЗ","шт","107.00","","0.00"
"290698-81","Болт М16х100-10.9","шт","124.00","","0.00"
"00133-Г2-3103070-01.","Болт М20х1,5х86 колеса пер ЗИЛ, ПАЗ","шт","78.00","","0.00"
"4905-1005056-10","Болт М24х2,5х26 стяжной шкива коленвала","шт","169.00","","0.00"
"290277-629","Болт М4х8 крепл троса капота","шт","20.00","","0.00"
"1-38331-218","Болт М5*10 с зубчатым буртиком крепл. модуля бензонасоса ГАЗель БелЗАН","шт","4.00","","0.00"
"201416-629","Болт М6-6gх12 универсальный","шт","2.00","","0.00"
"1-9034-21","Болт М6х1х45 стяжной клемм АКБ, вод насоса 402","шт","7.00","","0.00"
"406-1308090-01","Болт М6х1х95 6.8 натяжного ролика дв.406","шт","14.00","","0.00"
"201424-629","Болт М6х30 (200211-п29)","шт","5.00","","0.00"
"200213-629","Болт М6х35 топливопровод","шт","5.00","","0.00"
"201456-629","Болт М8х1,25х20 шкив помпы, ступица вентилятора 3302","шт","5.00","","0.00"
"290656-629","Болт М8х1,25х30 крепления корзины сцепления дв.402,406","шт","8.00","","0.00"
"201463-П29","Болт М8х1,25х38 6.8 передняя крышка ГБЦ 406","шт","9.00","","0.00"
"1-60440-219","Болт М8х1,25х40 промежут рул вала (БелЗАН)","шт","11.00","","0.00"
"4593-776128","Болт М8х1,25х45 крепления крышек р/вала 406 (бугель) (406-1003047-П)","шт","17.00","","0.00"
"200271-629","Болт М8х1,25х60 крепления звездочки промвала, крышки клапанов","шт","12.00","","0.00"
"200272-629","Болт М8х1,25х65 водяного насоса  дв.402","шт","12.00","","0.00"
"200274-П29 406-3701500-01","Болт М8х1,25х75 8.8 генератора","шт","15.00","","0.00"
"3105-3501225","Болт М8х20 крепеж. суппорта Волга ГАЗ","шт","21.00","","0.00"
"1-0-0038381-218","Болт М8х20 крепл.бампера с буртиком","шт","10.00","","0.00"
"201476-629     ","Болт М8х20 крыши багажника 2410,3102","шт","10.00","","0.00"
"406-1006096-20","Болт М8х24 успокоителя цепи 406 нижнего мал","шт","28.00","","0.00"
"201458-629","Болт М8х25 картер масл,крышка привода маслонасоса,кронштейн ФТО,насоса ГУР (ГАЗ)","шт","6.00","","0.00"
"200263-629","Болт М8х35 бензонасос 3302, крышка гидронатяж, помпа, корпус маслонас","шт","7.00","","0.00"
"406-1006098-20","Болт М8х40 башмака 406","шт","136.00","","0.00"
"406-1006097-20","Болт М8х47 успокоителя цепи 406 среднего, верхнего бол","шт","33.00","","0.00"
"4593761-123","Болт М8х6х30 головки цилиндров 40524,40525,40904 Евро 3","шт","11.00","","0.00"
"4593761-128","Болт М8х6х45 головки цилиндров 40524,40525,40904 Евро 3","шт","12.00","","0.00"
"245-1005127","Болт маховика ЗИЛ-5301 ""Бычок"",3309","шт","156.00","","0.00"
"2123-2904206","Болт регулировки развала с шайбой ГАЗель Next","шт","551.00","","0.00"
"5255271","Болт регулировочный звездочки распредвала ISF2.8","шт","71.00","","0.00"
"4983283","Болт с плоской головкой (на насос масляный) ISF 3.8 (О+)","шт","52.00","","0.00"
"3308-10-3548104","Болт установочный вакуумного насоса 33081","шт","224.00","","0.00"
"240-3509233","Болт штуцера дв.240,245","шт","100.00","","0.00"
"3302-43-3408100","Болт-штуцер ГУР 3302,2217,3310","шт","269.00","","0.00"
"3105-3430100","Болт-штуцер ГУР нагнетательный (d 14)","шт","207.00","","0.00"
"3110-3408100","Болт-штуцер ГУР сливной 406 (2 отверстия, d 16)","шт","246.00","","0.00"
"51-3506012","Болт-штуцер муфты торм трубок Волга,51 (d12)ГАЗ","шт","60.00","","0.00"
"240-1104787","Болт-штуцер на форсунку Е2","шт","97.00","","0.00"
"240-1104787-0Б","Болт-штуцер на форсунку Е2 (средний)","шт","180.00","","0.00"
